decile,n_customers,total_actual_spend,pct_of_total_actual_spend,cumulative_pct_of_total_actual_spend
1,495,2805737.74,0.6149124298302844,0.6149124298302844
2,495,541447.8,0.11866504041972997,0.7335774702500144
3,494,493567.3900000001,0.10817145121692365,0.841748921466938
4,494,207554.82,0.04548822823660892,0.887237149703547
5,494,148013.38,0.032438978827434246,0.9196761285309812
6,494,110753.65,0.024273044149191528,0.9439491726801728
7,494,89206.69,0.019550759047428617,0.9634999317276014
8,494,83340.2,0.01826504457417387,0.9817649763017753
9,494,52785.25000000001,0.011568546081109854,0.9933335223828852
10,494,30417.969999999998,0.0066664776171149525,1.0000000000000002
